,artwork_url,caption,commentable,comment_count,created_at,description,downloadable,download_count,duration,full_duration,embeddable_by,genre,has_downloads_left,id,kind,label_name,last_modified,license,likes_count,permalink,permalink_url,playback_count,public,purchase_title,purchase_url,release_date,reposts_count,secret_token,sharing,state,streamable,tag_list,title,track_format,uri,urn,user_id,visuals,waveform_url,display_date,station_urn,station_permalink,track_authorization,monetization_model,policy
0,https://i1.sndcdn.com/artworks-hq35ZXpgk76rnScp-kYyLHw-large.jpg,,True,0.0,2021-09-22T16:48:07Z,"In this episode Patch and Sara, certified specialists on the unconscious, give you an exercise for using word associations from interpreting and analyzing your own dreams! &nbsp; If you'd like to have one of your dreams anonymously analyzed on the air, submit it to . &nbsp; If you'd like to work with Patch and Sara around your dreams in our weekly dream circle, go to",False,0.0,790805,790805,all,,False,1129234846,track,,2021-09-22T16:48:55Z,all-rights-reserved,0.0,dream-lovers-episode-3-word,https://soundcloud.com/patrick-drury-42718775/dream-lovers-episode-3-word,0.0,True,,,,0,,public,finished,True,"dream ""dream analysis"" ""dream interpretation"" ""dream therapy"" jung ""dream lovers""",Dream Lovers - Episode 3: Word Association,single-track,https://api.soundcloud.com/tracks/1129234846,soundcloud:tracks:1129234846,237493574,,https://wave.sndcdn.com/rQCaPJVgeQYC_m.json,2021-09-22T16:48:07Z,soundcloud:system-playlists:track-stations:1129234846,track-stations:1129234846,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IiIsImlhdCI6MTYzNjExMTQ4MX0.oc-XbovEvpIvm4LFnspxRuWreobUT_fhO5KBeWXf7a4,NOT_APPLICABLE,ALLOW
1,https://i1.sndcdn.com/artworks-hq35ZXpgk76rnScp-kYyLHw-large.jpg,,True,0.0,2021-09-16T15:19:44Z,"In this, the premiere episode, of the Dream Lovers Podcast, certified subconscious specialists, Patch, and Sara Drury analyze a dream sent in by a listener. In this dream, a man is being led through the streets by four snakes on a leash!&nbsp; Whhaaaaat??? Patch and Sara dive into the potential meaning of snakes in our dreams, the occurrence of the number 4, and what the leases might be about. Tune in!",False,0.0,2700460,2700460,all,,False,1125731722,track,,2021-09-16T15:22:15Z,all-rights-reserved,1.0,dream-lovers,https://soundcloud.com/patrick-drury-42718775/dream-lovers,2.0,True,,,,1,,public,finished,True,"dream ""dream analysis"" ""dream interpretation"" ""dream therapy"" jung ""dream lovers""",Dream Lovers,single-track,https://api.soundcloud.com/tracks/1125731722,soundcloud:tracks:1125731722,237493574,,https://wave.sndcdn.com/x0SZQICD3m2Y_m.json,2021-09-16T15:19:44Z,soundcloud:system-playlists:track-stations:1125731722,track-stations:1125731722,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IiIsImlhdCI6MTYzNjExMTQ4MX0.oc-XbovEvpIvm4LFnspxRuWreobUT_fhO5KBeWXf7a4,NOT_APPLICABLE,ALLOW
2,https://i1.sndcdn.com/artworks-000125980593-j2547x-large.jpg,,True,0.0,2015-08-11T01:47:36Z,sick also flow always changing,True,5.0,238101,238101,all,GRIME,True,218686803,track,,2021-07-06T15:13:40Z,all-rights-reserved,5.0,djkidi-beats-changing-prod-grime,https://soundcloud.com/djkidirex/djkidi-beats-changing-prod-grime,107.0,True,,,,0,,public,finished,True,"""rap """,MAD TING - CHANGING  PROD ) GRIME,single-track,https://api.soundcloud.com/tracks/218686803,soundcloud:tracks:218686803,12270099,,https://wave.sndcdn.com/GNIBRyU8IJG3_m.json,2015-08-11T01:47:36Z,soundcloud:system-playlists:track-stations:218686803,track-stations:218686803,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6ImJkZmNmYTJiLThlMjgtNGI5NS1hOWFkLTI5ZjY4ZmY4ZTY0YSIsImlhdCI6MTYzNjExMTQ4MX0.d2fhwJTKhazYI2cOcHTiECXEklqxbkLSf3LEv1TzJaU,BLACKBOX,MONETIZE
3,,,True,0.0,2015-03-10T16:03:13Z,,True,1.0,236430,236430,none,grime,True,195190050,track,,2019-01-13T11:36:40Z,all-rights-reserved,3.0,baby-1,https://soundcloud.com/djkidirex/baby-1,86.0,True,,,,0,,public,finished,False,,KIDI BEATZ - CRYING BABY,single-track,https://api.soundcloud.com/tracks/195190050,soundcloud:tracks:195190050,12270099,,https://wave.sndcdn.com/pxTLY948w7G7_m.json,2015-03-10T16:03:13Z,soundcloud:system-playlists:track-stations:195190050,track-stations:195190050,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjAzYjk3OWM1LTI0ZGItNDczNy1hNGY5LTc5NTNhNTJlOGYzYiIsImlhdCI6MTYzNjExMTQ4Mn0.g6tckfOxCKuWtrZAVAOnMBnDfFEEKQ9YWFk8t24dGkQ,BLACKBOX,MONETIZE
4,https://i1.sndcdn.com/artworks-rnQYsNDoLGSkuKyQ-ziwbfg-large.jpg,,True,1.0,2021-02-17T09:06:56Z,bradenhartman.com,False,0.0,159660,159660,all,Pop,False,987282841,track,,2021-03-13T12:13:28Z,all-rights-reserved,0.0,waves,https://soundcloud.com/brayha2/waves,8.0,True,,,2021-02-17T00:00:00Z,0,,public,finished,True,shake brayha album pop indie indiefy acoustic edm electronic dance poptronic bradenhartman.com top charts today texas dallas piano brass band,Waves,single-track,https://api.soundcloud.com/tracks/987282841,soundcloud:tracks:987282841,228471792,,https://wave.sndcdn.com/9WJIJJsZ0OTr_m.json,2021-02-17T09:06:56Z,soundcloud:system-playlists:track-stations:987282841,track-stations:987282841,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjkyMDgzNzgxLTVmZDktNGQ4Zi04ZThiLTg3OTllMzQ0MTcyNyIsImlhdCI6MTYzNjExMTQ4Mn0.jmXgFjjOcmakOO6cYSVgZphQ5SAfBYzgb58UMSLqFgk,BLACKBOX,MONETIZE
5,https://i1.sndcdn.com/artworks-rnQYsNDoLGSkuKyQ-ziwbfg-large.jpg,,True,0.0,2021-02-17T09:06:29Z,bradenhartman.com,False,0.0,151066,151066,all,Pop,False,987282637,track,,2021-02-17T09:06:55Z,all-rights-reserved,0.0,prelude-in-b-minor-op-28-no-6,https://soundcloud.com/brayha2/prelude-in-b-minor-op-28-no-6,5.0,True,,,2021-02-17T00:00:00Z,0,,public,finished,True,shake brayha album pop indie indiefy acoustic edm electronic dance poptronic bradenhartman.com top charts today texas dallas piano brass band,Prelude in B Minor (Op. 28 No. 6) - Chopin,single-track,https://api.soundcloud.com/tracks/987282637,soundcloud:tracks:987282637,228471792,,https://wave.sndcdn.com/kRW3sQ63C98F_m.json,2021-02-17T09:06:29Z,soundcloud:system-playlists:track-stations:987282637,track-stations:987282637,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6ImVmNWM0NzRlLTZjOWEtNDNiMC05MWRjLWZlOWZlYTI3YjJkMyIsImlhdCI6MTYzNjExMTQ4Mn0.ofMz2P02QCylKiElKkbdUFoAklTaKsP2ul21wkSxdYs,BLACKBOX,MONETIZE
6,https://i1.sndcdn.com/artworks-U4kg847yBQ28yriE-u2dR5A-large.jpg,,True,1.0,2021-02-12T04:07:40Z,My fanmade mix if Nicki Minaj was performing at a Super Bowl halftime.,False,0.0,1456091,1456091,all,Pop,False,983922358,track,,2021-02-18T15:56:36Z,all-rights-reserved,6.0,nicki-minaj-super-bowl-halftime-show-20-fanmade,https://soundcloud.com/brayha2/nicki-minaj-super-bowl-halftime-show-20-fanmade,97.0,True,,,,0,,public,finished,True,"nicki minaj ""super bowl"" super bowl halftime period",Nicki Minaj - Super Bowl Halftime Show 20?? (fanmade),single-track,https://api.soundcloud.com/tracks/983922358,soundcloud:tracks:983922358,228471792,,https://wave.sndcdn.com/Az7axQ8HbB8f_m.json,2021-02-12T04:07:40Z,soundcloud:system-playlists:track-stations:983922358,track-stations:983922358,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjFmNDhmODA4LTVlZGUtNGJlYy1hODI5LWUyZWVlMWJmMDMxNyIsImlhdCI6MTYzNjExMTQ4M30.LvhmDsRW0JKGzh65EzikEYZGqT0SjoaUTy5M_7cOvl0,NOT_APPLICABLE,ALLOW
7,https://i1.sndcdn.com/artworks-wsrzZwinifdLz0wS-Jl3Z4A-large.jpg,,True,0.0,2021-10-18T22:32:07Z,,False,0.0,60082,60082,all,Dance & EDM,False,1144041442,track,,2021-10-18T22:32:11Z,all-rights-reserved,0.0,dont-stop-now,https://soundcloud.com/zen5-1/dont-stop-now,5.0,True,,,,0,,public,finished,True,,Don't Stop Now,single-track,https://api.soundcloud.com/tracks/1144041442,soundcloud:tracks:1144041442,64443332,,https://wave.sndcdn.com/hyYjF19NFNFN_m.json,2021-10-18T22:32:07Z,soundcloud:system-playlists:track-stations:1144041442,track-stations:1144041442,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjE4MzllYmNlLTYzMmQtNGQyZC04ZWI3LWUwMDI5YTdiZWUzYyIsImlhdCI6MTYzNjExMTQ4M30.c5DYMORC41t8c-iWjsZQh4w3soHFgWw7qoR2FazojZI,BLACKBOX,MONETIZE
8,https://i1.sndcdn.com/artworks-KEx6sIK8WJnhSOH3-houjTg-large.jpg,,True,1.0,2021-08-08T08:14:33Z,Enjoy my new track :),False,0.0,210469,210469,all,Electronic,False,1102279651,track,,2021-08-11T06:03:40Z,all-rights-reserved,3.0,neon,https://soundcloud.com/zen5-1/neon,33.0,True,,,,0,,public,finished,True,clean house minimal,Neon,single-track,https://api.soundcloud.com/tracks/1102279651,soundcloud:tracks:1102279651,64443332,,https://wave.sndcdn.com/5XyD613Orszy_m.json,2021-08-08T08:14:33Z,soundcloud:system-playlists:track-stations:1102279651,track-stations:1102279651,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjgyNjM5OTM3LTViMDktNGIxZi1iNjkzLTQxODMwZDY5ZmIyZiIsImlhdCI6MTYzNjExMTQ4NH0.mDGEInGK5X8PvPcaSfSEXj6Q9djUN8lXO5K_yfrJCGc,BLACKBOX,MONETIZE
9,https://i1.sndcdn.com/artworks-y5x1XvFNrQPryyFh-NuzVQQ-large.jpg,,True,2.0,2020-07-15T23:13:27Z,,False,0.0,60056,60056,all,Dance & EDM,False,858675259,track,,2020-07-21T23:26:24Z,all-rights-reserved,4.0,blue-stars-tropical-house,https://soundcloud.com/zen5-1/blue-stars-tropical-house,145.0,True,,https://open.spotify.com/album/0uzVlFgRBlk9mFmH8Fgfwu,,1,,public,finished,True,"""tropical house"" ""deep house"" chillout",Blue Stars #Tropical house #Chilliut,single-track,https://api.soundcloud.com/tracks/858675259,soundcloud:tracks:858675259,64443332,,https://wave.sndcdn.com/cegtdWsSthMr_m.json,2020-07-15T23:13:27Z,soundcloud:system-playlists:track-stations:858675259,track-stations:858675259,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjVmYzAxY2ViLWM4MjktNDhhOS04MmUzLTU4ZWM4ZDI4OWQ2YyIsImlhdCI6MTYzNjExMTQ4NH0.f07P0LmoUt5bkcQqH9vDoJYZKk2aUN4N-7ow2N1-MPE,BLACKBOX,MONETIZE
